tourney_name,matches,correct,accuracy
Australian Open,127.0,95.0,0.7480314960629921
Indian Wells Masters,89.0,58.0,0.651685393258427
Acapulco,31.0,20.0,0.6451612903225806
Dubai,31.0,21.0,0.6774193548387096
Rotterdam,31.0,23.0,0.7419354838709677
Rio de Janeiro,31.0,19.0,0.6129032258064516
Doha,31.0,27.0,0.8709677419354839
Dallas,31.0,25.0,0.8064516129032258
Brisbane,31.0,19.0,0.6129032258064516
Adelaide,27.0,15.0,0.5555555555555556
Hong Kong,27.0,17.0,0.6296296296296297
Auckland,27.0,17.0,0.6296296296296297
United Cup,25.0,11.0,0.44
Montpellier,19.0,10.0,0.5263157894736842
Santiago,19.0,13.0,0.6842105263157895
Delray Beach,15.0,13.0,0.8666666666666667
Buenos Aires,15.0,13.0,0.8666666666666667
